video_id,generic_m3u8_link,html_link,date,processed_transcript_text_link
slovakia_7_17_3_11052017,https://tv.nrsr.sk/archiv/schodza/7/17?MeetingDate=11052017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/17?MeetingDate=11052017&DisplayChairman=true,11052017,https://tv.nrsr.sk/archiv/schodza/7/17?MeetingDate=11052017&DisplayChairman=true
slovakia_7_17_4_12052017,https://tv.nrsr.sk/archiv/schodza/7/17?MeetingDate=12052017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/17?MeetingDate=12052017&DisplayChairman=true,12052017,https://tv.nrsr.sk/archiv/schodza/7/17?MeetingDate=12052017&DisplayChairman=true
slovakia_7_17_5_16052017,https://tv.nrsr.sk/archiv/schodza/7/17?MeetingDate=16052017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/17?MeetingDate=16052017&DisplayChairman=true,16052017,https://tv.nrsr.sk/archiv/schodza/7/17?MeetingDate=16052017&DisplayChairman=true
slovakia_7_17_6_17052017,https://tv.nrsr.sk/archiv/schodza/7/17?MeetingDate=17052017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/17?MeetingDate=17052017&DisplayChairman=true,17052017,https://tv.nrsr.sk/archiv/schodza/7/17?MeetingDate=17052017&DisplayChairman=true
slovakia_7_17_7_18052017,https://tv.nrsr.sk/archiv/schodza/7/17?MeetingDate=18052017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/17?MeetingDate=18052017&DisplayChairman=true,18052017,https://tv.nrsr.sk/archiv/schodza/7/17?MeetingDate=18052017&DisplayChairman=true
slovakia_7_16_1_04052017,https://tv.nrsr.sk/archiv/schodza/7/16?MeetingDate=04052017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/16?MeetingDate=04052017&DisplayChairman=true,4052017,https://tv.nrsr.sk/archiv/schodza/7/16?MeetingDate=04052017&DisplayChairman=true
slovakia_7_15_1_06042017,https://tv.nrsr.sk/archiv/schodza/7/15?MeetingDate=06042017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/15?MeetingDate=06042017&DisplayChairman=true,6042017,https://tv.nrsr.sk/archiv/schodza/7/15?MeetingDate=06042017&DisplayChairman=true
slovakia_7_14_1_21032017,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=21032017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=21032017&DisplayChairman=true,21032017,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=21032017&DisplayChairman=true
slovakia_7_14_2_22032017,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=22032017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=22032017&DisplayChairman=true,22032017,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=22032017&DisplayChairman=true
slovakia_7_14_3_23032017,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=23032017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=23032017&DisplayChairman=true,23032017,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=23032017&DisplayChairman=true
slovakia_7_14_4_24032017,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=24032017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=24032017&DisplayChairman=true,24032017,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=24032017&DisplayChairman=true
slovakia_7_14_5_28032017,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=28032017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=28032017&DisplayChairman=true,28032017,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=28032017&DisplayChairman=true
slovakia_7_14_6_29032017,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=29032017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=29032017&DisplayChairman=true,29032017,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=29032017&DisplayChairman=true
slovakia_7_14_7_30032017,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=30032017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=30032017&DisplayChairman=true,30032017,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=30032017&DisplayChairman=true
slovakia_7_14_8_31032017,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=31032017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=31032017&DisplayChairman=true,31032017,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=31032017&DisplayChairman=true
slovakia_7_14_9_04042017,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=04042017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=04042017&DisplayChairman=true,4042017,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=04042017&DisplayChairman=true
slovakia_7_14_10_05042017,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=05042017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=05042017&DisplayChairman=true,5042017,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=05042017&DisplayChairman=true
slovakia_7_14_11_06042017,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=06042017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=06042017&DisplayChairman=true,6042017,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=06042017&DisplayChairman=true
slovakia_7_14_12_07042017,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=07042017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=07042017&DisplayChairman=true,7042017,https://tv.nrsr.sk/archiv/schodza/7/14?MeetingDate=07042017&DisplayChairman=true
slovakia_7_13_1_14022017,https://tv.nrsr.sk/archiv/schodza/7/13?MeetingDate=14022017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/13?MeetingDate=14022017&DisplayChairman=true,14022017,https://tv.nrsr.sk/archiv/schodza/7/13?MeetingDate=14022017&DisplayChairman=true
