html_link,processed_video_link,transcript_id,year,part
https://www.ft.dk/forhandlinger/20101/20101M033_2010-12-10_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/33.aspx,20101M033_2010-12-10_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M032_2010-12-09_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/32.aspx,20101M032_2010-12-09_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M031_2010-12-08_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/31.aspx,20101M031_2010-12-08_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M030_2010-12-07_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/30.aspx,20101M030_2010-12-07_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M029_2010-12-03_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/29.aspx,20101M029_2010-12-03_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M028_2010-12-02_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/28.aspx,20101M028_2010-12-02_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M027_2010-12-01_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/27.aspx,20101M027_2010-12-01_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M026_2010-11-30_1200.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/26.aspx,20101M026_2010-11-30_1200,2010,1
https://www.ft.dk/forhandlinger/20101/20101M025_2010-11-26_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/25.aspx,20101M025_2010-11-26_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M024_2010-11-25_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/24.aspx,20101M024_2010-11-25_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M023_2010-11-24_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/23.aspx,20101M023_2010-11-24_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M022_2010-11-23_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/22.aspx,20101M022_2010-11-23_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M021_2010-11-19_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/21.aspx,20101M021_2010-11-19_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M020_2010-11-18_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/20.aspx,20101M020_2010-11-18_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M019_2010-11-17_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/19.aspx,20101M019_2010-11-17_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M018_2010-11-16_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/18.aspx,20101M018_2010-11-16_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M017_2010-11-12_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/17.aspx,20101M017_2010-11-12_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M016_2010-11-11_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/16.aspx,20101M016_2010-11-11_1000,2010,1
