video_id,generic_video_link,title,processed_transcript_text_link
montenegro_87_19062024,https://www.youtube.com/watch?v=L-z37kae0kw,Šesta sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (drugi dan),https://www.skupstina.me/en/chronology-of-discussions/392
montenegro_88_19062024,https://www.youtube.com/watch?v=L-z37kae0kw,Osma sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini,https://www.skupstina.me/en/chronology-of-discussions/391
montenegro_89_07062024,https://www.youtube.com/watch?v=L-z37kae0kw,Sedma sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (četvrti dan),https://www.skupstina.me/en/chronology-of-discussions/400
montenegro_90_06062024,https://www.youtube.com/watch?v=L-z37kae0kw,Sedma sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (treći dan),https://www.skupstina.me/en/chronology-of-discussions/398
montenegro_91_05062024,https://www.youtube.com/watch?v=L-z37kae0kw,Sedma sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (drugi dan),https://www.skupstina.me/en/chronology-of-discussions/393
montenegro_92_04062024,https://www.youtube.com/watch?v=L-z37kae0kw,Sedma sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (prvi dan),https://www.skupstina.me/en/chronology-of-discussions/385
montenegro_93_17052024,https://www.youtube.com/watch?v=L-z37kae0kw,Šesta sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (prvi dan),https://www.skupstina.me/en/chronology-of-discussions/386
montenegro_94_17052024,https://www.youtube.com/watch?v=L-z37kae0kw,Peta sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (sedmi dan),https://www.skupstina.me/en/chronology-of-discussions/394
montenegro_95_13052024,https://www.youtube.com/watch?v=L-z37kae0kw,Peta sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (šesti dan),https://www.skupstina.me/en/chronology-of-discussions/390
montenegro_96_10052024,https://www.youtube.com/watch?v=L-z37kae0kw,Četvrta - posebna sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (drugi dan),https://www.skupstina.me/en/chronology-of-discussions/388
montenegro_97_09052024,https://www.youtube.com/watch?v=L-z37kae0kw,Četvrta - posebna sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (prvi dan),https://www.skupstina.me/en/chronology-of-discussions/389
montenegro_98_08052024,https://www.youtube.com/watch?v=L-z37kae0kw,Peta sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (peti dan),https://www.skupstina.me/en/chronology-of-discussions/383
montenegro_99_07052024,https://www.youtube.com/watch?v=L-z37kae0kw,Peta sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (četvrti dan),https://www.skupstina.me/en/chronology-of-discussions/387
montenegro_100_30042024,https://www.youtube.com/watch?v=L-z37kae0kw,Peta sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (treći dan),https://www.skupstina.me/en/chronology-of-discussions/384
montenegro_101_29042024,https://www.youtube.com/watch?v=L-z37kae0kw,Peta sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (drugi dan),https://www.skupstina.me/en/chronology-of-discussions/382
montenegro_102_29042024,https://www.youtube.com/watch?v=L-z37kae0kw,Treća - posebna sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (deveti dan),https://www.skupstina.me/en/chronology-of-discussions/378
montenegro_103_26042024,https://www.youtube.com/watch?v=L-z37kae0kw,Treća - posebna sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (osmi dan),https://www.skupstina.me/en/chronology-of-discussions/379
